FECHA_ACCIDENTE,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,latitud,longitud
2015-01-01 15:30:00,Con heridos,Choque,2,0,1,10.9583636,-74.7947307
2015-01-01 04:20:00,Solo daños,Choque,0,0,1,10.9535005,-74.77620259999999
2015-01-01 16:40:00,Con heridos,Choque,2,0,1,10.951457,-74.7888007
2015-01-01 16:50:00,Con heridos,Atropello,1,0,1,10.9450471,-74.8239644
2015-01-01 06:00:00,Solo daños,Choque,0,0,1,10.9445133,-74.82554619999999
2015-01-01 19:50:00,Solo daños,Choque,0,0,1,11.0160656,-74.82628969999999
2015-01-01 21:25:00,Solo daños,Choque,0,0,1,10.9671994,-74.7925514
2015-01-02 13:00:00,Solo daños,Choque,0,0,1,10.988926,-74.7991167
2015-01-02 15:10:00,Solo daños,Choque,0,0,1,11.016469,-74.8417007
2015-01-02 16:00:00,Solo daños,Choque,0,0,1,10.9957165,-74.8162959
2015-01-02 16:05:00,Solo daños,Choque,0,0,1,10.9800525,-74.8359668
2015-01-02 04:20:00,Con muertos,Atropello,0,1,1,10.9581023,-74.794049
2015-01-02 16:40:00,Solo daños,Choque,0,0,1,10.997987,-74.8120945
2015-01-02 17:19:00,Solo daños,Choque,0,0,1,10.9983163,-74.8024956
2015-01-02 17:45:00,Solo daños,Choque,0,0,1,10.9885747,-74.7895216
2015-01-02 18:30:00,Solo daños,Choque,0,0,1,11.0061612,-74.81332689999999
2015-01-02 07:40:00,Solo daños,Choque,0,0,1,10.9676661,-74.7855907
2015-01-02 08:15:00,Solo daños,Choque,0,0,1,10.9528812,-74.7931936
2015-01-02 09:00:00,Solo daños,Choque,0,0,1,10.9924131,-74.7981296
2015-01-02 21:30:00,Solo daños,Choque,0,0,1,10.958247,-74.8250156
2015-01-03 13:50:00,Solo daños,Choque,0,0,1,10.9972485,-74.8007063
2015-01-03 14:30:00,Solo daños,Choque,0,0,1,11.0134666,-74.8156798
2015-01-03 15:00:00,Solo daños,Choque,0,0,1,10.9873824,-74.79575919999999
2015-01-03 15:50:00,Solo daños,Choque,0,0,1,10.9590954,-74.804498
2015-01-03 17:30:00,Solo daños,Choque,0,0,1,10.9851453,-74.7879988
2015-01-03 08:00:00,Solo daños,Choque,0,0,1,11.0110774,-74.8288341
2015-01-03 20:00:00,Solo daños,Choque,0,0,1,10.940632,-74.82794
2015-01-03 09:00:00,Solo daños,Choque,0,0,1,10.9979454,-74.8215281
2015-01-03 22:51:00,Solo daños,Choque,0,0,1,10.9968087,-74.8100681
2015-01-03 23:00:00,Solo daños,Choque,0,0,1,10.9535005,-74.7762026
2015-01-03 12:30:00,Solo daños,Choque,0,0,1,11.0067707,-74.8001673
2015-01-04 01:00:00,Solo daños,Choque,0,0,1,11.0102435,-74.81122239999999
2015-01-04 02:45:00,Con heridos,Choque,1,0,1,10.9708477,-74.7984597
2015-01-04 15:10:00,Solo daños,Choque,0,0,1,10.9723628,-74.7905532
2015-01-04 03:24:00,Solo daños,Choque,0,0,1,11.0332643,-74.8309547
2015-01-04 15:30:00,Solo daños,Choque,0,0,1,10.9666399,-74.7953709
2015-01-04 19:00:00,Solo daños,Choque,0,0,1,10.9698974,-74.80135670000001
2015-01-04 11:40:00,Solo daños,Choque,0,0,1,10.9395185,-74.8268366
2015-01-05 14:20:00,Solo daños,Choque,0,0,1,10.9906344,-74.7893639
2015-01-05 14:30:00,Solo daños,Choque,0,0,1,11.0145774,-74.8275383
2015-01-05 16:00:00,Solo daños,Choque,0,0,1,10.9779446,-74.7877793
2015-01-05 16:50:00,Con heridos,Choque,1,0,1,10.9449893,-74.8241533
2015-01-05 18:30:00,Solo daños,Choque,0,0,1,10.9876538,-74.8101875
2015-01-05 07:00:00,Solo daños,Choque,0,0,1,10.9665604,-74.78811999999999
2015-01-05 07:40:00,Solo daños,Choque,0,0,1,11.004304,-74.8081282
2015-01-05 08:00:00,Solo daños,Choque,0,0,1,10.9432486,-74.79607969999999
